COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
Sabina,High,2020-06-30,837,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.8603,129.93195
Sandridge,Moderate,2020-06-30,988,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,7.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,No,No,-16.04184,136.34854
Sandy Bay,Moderate,2020-06-30,892,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,4.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.20719,132.58027
Sandy Bore,Low,2020-06-30,24898,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,6.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-24.5575,132.524333
Santa Teresa,Moderate,2020-06-30,145,Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,682.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-24.1307,134.3733
Scott Point,High,2020-06-30,958,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.75212,136.84751
Snake Lagoon,Moderate,2020-06-30,24902,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,6.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-16.203217,136.913033
Snake Well,Low,2020-06-30,948,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,12.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.159458,133.915292
South West Island,Low,2020-06-30,262,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,10.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-15.68902,136.68821
Spotted Tiger,Low,2020-06-30,953,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,9.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-23.04308,134.91761
Spring Peak,Moderate,2020-06-30,419,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,8.0,Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.96266,132.45424
Sugar Creek,Moderate,2020-06-30,18,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.949736,132.573625
Takapimiliyi,Low,2020-06-30,1013,Family Outstation,No,Arnhem,Tiwi Islands Regional Council,Tiwi Land Council,3.0,Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.81528,130.80161
Tara,High,2020-06-30,264,Minor,No,Alice Springs,Barkly Regional Council,Central Land Council,105.0,Thangkenharenge Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-21.50658,133.99669
Taracumbi,Moderate,2020-06-30,424,Family Outstation,No,Arnhem,Tiwi Islands Regional Council,Tiwi Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.60806,130.71131
Tarawara,Moderate,2020-06-30,767,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.54726,131.41338
Tigers Camp,High,2020-06-30,306,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.47407,132.77662
Timor Springs,High,2020-06-30,891,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.09665,132.57399
Tinkarli,Low,2020-06-30,681,Town Camp,No,ERA,Barkly Regional Council,Central Land Council,66.0,Barkly Regional Council,Local Government Association,Yes,Yes,No,-19.637236,134.202514
Tinki,High,2020-06-30,62,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.27331,129.55768
Titjikala,Moderate,2020-06-30,148,Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,267.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-24.67389,134.07584
Tjamangkurra,Low,2020-06-30,149,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,5.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.968903,132.805292
Tjauwata,Moderate,2020-06-30,880,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.91526,129.12181
Tjintirtjintirpa,Low,2020-06-30,762,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,6.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.28522,131.27059
Tjoungouri,High,2020-06-30,267,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.17126,136.04365
Tjulpungu,Moderate,2020-06-30,151,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.83419,131.41348
Tjunti,Moderate,2020-06-30,152,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.01763,129.40113
Tjuntinanta,Moderate,2020-06-30,153,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.85187,129.23084
Tnawurta,Low,2020-06-30,154,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,2.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.998903,132.838347
Tnerte,Low,2020-06-30,928,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,16.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.74715,133.72011
Tnyimipurta,Low,2020-06-30,155,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.887792,132.671125
Tommyhawk Swamp,Moderate,2020-06-30,970,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.194306,134.592739
Town Bore,Moderate,2020-06-30,30,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,7.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.35473,132.06416
Tree Point,High,2020-06-30,423,Family Outstation,Yes,Vernon Arafura,Litchfield Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.30839,131.01819
Turkey Lagoon,High,2020-06-30,649,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.52938,134.75093
Turners Camp,Low,2020-06-30,785,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,18.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.30514,134.06937
Twetye (A),Low,2020-06-30,929,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,15.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.74034,133.70539
Twetye (B),Low,2020-06-30,930,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,20.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.74292,133.69633
Tywenpe (A),Low,2020-06-30,931,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,15.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.72634,133.72928
Tywenpe (C),Low,2020-06-30,933,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,25.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.74426,133.68787
Tywenpe (D),Low,2020-06-30,934,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,6.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.7648,133.67226
Uguie,Moderate,2020-06-30,991,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-15.83006,137.04142
Ukaka,Low,2020-06-30,159,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,15.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-24.59261,132.37395
Ukatjupu,Moderate,2020-06-30,160,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.90949,129.10549
Ulambara,Low,2020-06-30,760,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,11.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.27715,131.92748
Ulbulla,High,2020-06-30,705,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.68357,133.19644
Ulpanyali,Moderate,2020-06-30,162,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,15.0,Ngurratjuta Pmara Ntjarra Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-24.23091,131.50075
Ulpunda,Low,2020-06-30,772,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,15.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.9546,132.766
Uluperte,Moderate,2020-06-30,1016,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.76408,135.69544
Umbakumba,High,2020-06-30,555,Major,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,591.0,East Arnhem Regional Council,Local Government Association,Yes,Yes,No,-13.859736,136.811125
Uminyuluk,Moderate,2020-06-30,962,Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,7.0,West Daly Regional Council,Local Government Association,Yes,Yes,No,-13.83073,130.05311
Un-Marr,High,2020-06-30,662,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.06441,129.90879
Undoolya Bore,Low,2020-06-30,711,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,20.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.74762,134.11762
Undurana 1C,Low,2020-06-30,166,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,5.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.75723,132.12722
Undurana 2A,Moderate,2020-06-30,985,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,1.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.759181,132.105292
Urlampe,Moderate,2020-06-30,156,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,20.0,Arramwelke Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.49317,137.74252
Urrermerne,Moderate,2020-06-30,24992,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.9629,134.069133
Utily,Low,2020-06-30,24,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,12.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.48877,131.87319
Village Camp,Low,2020-06-30,271,Town Camp,No,ERA,Barkly Regional Council,Central Land Council,58.0,Barkly Regional Council,Local Government Association,Yes,Yes,No,-19.656,134.1842
Wada Wadalla,High,2020-06-30,815,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-15.92948,136.42886
